Keyword,Volume,Competition,CPC,Opportunity Score,Difficulty,Content Type,Target Pages,Timeline,ROI Potential
"ChatGPT",55600000,28,0.11,1985714,"Medium","Blog Post","Tools page, Blog, Category","4-6 weeks","Medium"
"Copilot",1500000,18,0.51,83333,"Easy","Blog Post","Tools page, Blog, Category","2-3 weeks","High"
"Gemini AI",1000000,31,0.21,32258,"Medium","Blog Post","Tools page, Blog, Category","4-6 weeks","Medium"
"AI image generator",1000000,44,1.23,22727,"Medium","Blog Post","Tools page, Blog, Category","4-6 weeks","Medium"
"Claude AI",673000,26,3.53,25885,"Medium","Blog Post","Tools page, Blog, Category","4-6 weeks","Medium"
"Perplexity AI",368000,5,3.28,73600,"Easy","Blog Post","Tools page, Blog, Category","2-3 weeks","High"
"Midjourney",301000,21,1.10,14333,"Medium","Blog Post","Tools page, Blog, Category","4-6 weeks","Medium"
"AI video generator",165000,44,3.00,3750,"Medium","Blog Post","Tools page, Blog, Category","4-6 weeks","Medium"
"ChatGPT alternatives",110000,48,3.75,2292,"Medium","Blog Post","Tools page, Blog, Category","4-6 weeks","Medium"
"GPT-4",74000,24,1.56,3083,"Medium","Blog Post","Tools page, Blog, Category","4-6 weeks","Medium"